OhioStateFb  UMichFootball
CanadiensMTL MapleLeafs
realmadriden FCBarcelona
CelticFC RangersFC
BCCI TheRealPCB
RedSox Yankees
DetroitRedWings NHLBlackhawks
dukebasketball UNC_Basketball
Dodgers SFGiants
EdmontonOilers NHLFlames
RiverPlate BocaJrsOficial
AlabamaFTBL AuburnFootball
nyknicks MiamiHEAT
packers ChicagoBears
Lakers celtics 
Cardinals Cubs
Giants Eagles
englandcricket CricketAus
HokiesFB UVAFootball
NHLBruins CanadiensMTL
ArmyWP_Football NavyFB
acmilan Inter_en
Springboks AllBlacks
ManUtd LFC
Arsenal SpursOfficial
